Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000107949,BCCIP,Gene Expression,0.22259717906132429,0.0,0.0,15425,1.3755167407088968,3082
ENSG00000134871,COL4A2,Gene Expression,0.2225926501962683,0.0,0.0,29585,4.987102874816036,4368
ENSG00000143621,ILF2,Gene Expression,0.22241421130226768,0.0,0.0,18393,1.682078276561714,3338
ENSG00000143977,SNRPG,Gene Expression,0.22237612432203982,0.0,0.0,8688,0.7422133839402377,2482
ENSG00000111816,FRK,Gene Expression,0.2222884814460816,0.0,0.0,5394,0.4301139989759789,1967
ENSG00000112759,SLC29A1,Gene Expression,0.2222435524887661,0.0,0.0,12079,1.0976609522201486,2849
ENSG00000153064,BANK1,Gene Expression,0.2222377038622756,0.0,0.0,1417,0.24700753850882545,851
ENSG00000066583,ISOC1,Gene Expression,0.22220948531127233,0.0,0.0,9037,0.7639981049052209,2500
ENSG00000178999,AURKB,Gene Expression,0.2221443467151437,0.0,0.0,3745,0.2902384783450714,1629
ENSG00000100591,AHSA1,Gene Expression,0.22184022083688967,0.0,0.0,26377,2.512597000305309,3765
ENSG00000040341,STAU2,Gene Expression,0.22171611453714823,0.0,0.0,22096,2.111011208464061,3583
ENSG00000171766,GATM,Gene Expression,0.2217064407431117,0.0,0.0,10032,0.8878619835299344,2622
ENSG00000198380,GFPT1,Gene Expression,0.22156660148323953,0.0,0.0,18278,1.6882106072056957,3330
ENSG00000197061,HIST1H4C,Gene Expression,0.2214519460898413,0.0,0.0,11938,1.0679302502706147,2850
ENSG00000123485,HJURP,Gene Expression,0.22143688631848574,0.0,0.0,3624,0.28155044753037467,1558
ENSG00000135597,REPS1,Gene Expression,0.2213159042484435,0.0,0.0,12967,1.171370828494838,2972
ENSG00000276410,HIST1H2BB,Gene Expression,0.22126450280355067,0.0,0.0,4141,0.3265918095397804,1686
ENSG00000101361,NOP56,Gene Expression,0.22116077902895948,0.0,0.0,21917,2.062263985998297,3600
ENSG00000008441,NFIX,Gene Expression,0.22104425552212276,0.0,0.0,11233,2.286382637031985,3881
ENSG00000106538,RARRES2,Gene Expression,0.2209319302446942,0.0,0.0,4667,1.401003102408077,2593
ENSG00000189057,FAM111B,Gene Expression,0.22074187248000193,0.0,0.0,3697,0.27656808057975857,1588
ENSG00000115760,BIRC6,Gene Expression,0.22064340854876924,0.0,0.0,22358,2.124258980636099,3593
ENSG00000169679,BUB1,Gene Expression,0.22060986684524292,0.0,0.0,4173,0.32098190711938673,1699
ENSG00000116016,EPAS1,Gene Expression,0.22060935506596627,0.0,0.0,19691,3.6773328774341083,4185
ENSG00000104823,ECH1,Gene Expression,0.22042016377777857,0.0,0.0,38146,3.665863725927353,4102
ENSG00000171302,CANT1,Gene Expression,0.22035807126884213,0.0,0.0,17942,1.6173213108050706,3276
ENSG00000145386,CCNA2,Gene Expression,0.22031946077636533,0.0,0.0,4446,0.3483941417597776,1773
ENSG00000091490,SEL1L3,Gene Expression,0.2201954891514465,0.0,0.0,9262,1.145916989562395,3056
ENSG00000178538,CA8,Gene Expression,0.21985670457336934,0.0,0.0,2714,0.19673633272398977,1301
ENSG00000243317,STMP1,Gene Expression,0.21982834861527137,0.0,0.0,23047,2.1986699132359924,3562
ENSG00000132514,CLEC10A,Gene Expression,0.21982150963561786,0.0,0.0,4747,0.8777180626509564,2156
ENSG00000166451,CENPN,Gene Expression,0.21965790392370957,0.0,0.0,5261,0.42354014717683314,1925
ENSG00000109332,UBE2D3,Gene Expression,0.21959617092485498,0.0,0.0,27027,2.5423800043009024,3725
ENSG00000196476,C20orf96,Gene Expression,0.21953711477667587,0.0,0.0,7336,0.6070836691027136,2247
ENSG00000103811,CTSH,Gene Expression,0.2192923926121811,0.0,0.0,13237,1.4015501156928152,3254
ENSG00000100626,GALNT16,Gene Expression,0.21916335050107122,0.0,0.0,3145,0.8707757186734773,2072
ENSG00000176788,BASP1,Gene Expression,0.21914827951471813,0.0,0.0,14568,2.1787350154864593,3710
ENSG00000035115,SH3YL1,Gene Expression,0.21913817893728316,0.0,0.0,7914,0.6564288338829798,2329
ENSG00000169508,GPR183,Gene Expression,0.21910208372728113,0.0,0.0,4675,0.6911629149709472,2120
ENSG00000100577,GSTZ1,Gene Expression,0.21899620750070165,0.0,0.0,4119,0.32300211059495987,1696
ENSG00000106153,CHCHD2,Gene Expression,0.2189829706964032,0.0,0.0,38252,3.616111077603501,4086
ENSG00000153944,MSI2,Gene Expression,0.2189527082501642,0.0,0.0,13540,1.2006285023309926,2965
ENSG00000169750,RAC3,Gene Expression,0.2188876533343379,0.0,0.0,6045,0.48923726218562985,2022
ENSG00000143119,CD53,Gene Expression,0.2187445922558392,0.0,0.0,9772,1.4898439755861954,3117
ENSG00000170369,CST2,Gene Expression,0.2186104893330226,0.0,0.0,1091,0.12812491007914545,716
ENSG00000141580,WDR45B,Gene Expression,0.21855371920769814,0.0,0.0,14255,1.2786104031905638,3053
ENSG00000140545,MFGE8,Gene Expression,0.21831206629078342,0.0,0.0,14225,2.6043009869494598,3902
ENSG00000101843,PSMD10,Gene Expression,0.218271580254888,0.0,0.0,12090,1.0839366742574557,2912
ENSG00000125885,MCM8,Gene Expression,0.21825001576532793,0.0,0.0,5457,0.42935347708550875,1987
ENSG00000133639,BTG1,Gene Expression,0.21821005003211347,0.0,0.0,32341,4.49901357291655,4321
ENSG00000085978,ATG16L1,Gene Expression,0.21811430615801208,0.0,0.0,9124,0.7840087036093285,2526
ENSG00000160678,S100A1,Gene Expression,0.2180965004464063,0.0,0.0,2597,0.4765277761741137,1281
ENSG00000134954,ETS1,Gene Expression,0.21799679234269084,0.0,0.0,15930,2.271895748559433,3655
ENSG00000101444,AHCY,Gene Expression,0.21791844882244293,0.0,0.0,17753,1.6126108051682506,3248
ENSG00000129197,RPAIN,Gene Expression,0.2178977535793937,0.0,0.0,13219,1.193919666478121,2975
ENSG00000000971,CFH,Gene Expression,0.21788908680133912,0.0,0.0,6940,1.5094421567452931,2971
ENSG00000196504,PRPF40A,Gene Expression,0.21783834568221339,0.0,0.0,23563,2.236929921482977,3617
ENSG00000087008,ACOX3,Gene Expression,0.21780200494976884,0.0,0.0,10869,0.9387760149978921,2710
ENSG00000077274,CAPN6,Gene Expression,0.21779955623055436,0.0,0.0,1784,0.6072514747286011,1299
ENSG00000169607,CKAP2L,Gene Expression,0.2177794900154812,0.0,0.0,3197,0.22906412806396834,1464
ENSG00000155959,VBP1,Gene Expression,0.21763388898605804,0.0,0.0,8895,0.7607790184513797,2589
ENSG00000104267,CA2,Gene Expression,0.21759712643804818,0.0,0.0,2856,0.24363606817543645,1411
ENSG00000162836,ACP6,Gene Expression,0.21757494732510724,0.0,0.0,5052,0.4037459205853263,1940
ENSG00000184113,CLDN5,Gene Expression,0.21748893505519606,0.0,0.0,3074,0.8955980936845488,1747
ENSG00000134779,TPGS2,Gene Expression,0.2174318348306576,0.0,0.0,14155,1.2897960088412868,3105
ENSG00000136950,ARPC5L,Gene Expression,0.21737025505801474,0.0,0.0,15923,1.4424966721120918,3214
ENSG00000125753,VASP,Gene Expression,0.21726524258237556,0.0,0.0,24059,2.391826507614825,3692
ENSG00000092853,CLSPN,Gene Expression,0.21716542839868244,0.0,0.0,3220,0.2306323142328334,1493
ENSG00000277075,HIST1H2AE,Gene Expression,0.2171573686962067,0.0,0.0,8035,0.7059853187628966,2431
ENSG00000157765,SLC34A2,Gene Expression,0.2170047939704387,0.0,0.0,1492,0.13051927431918997,594
ENSG00000175029,CTBP2,Gene Expression,0.2169222569898937,0.0,0.0,17720,1.6015343145079628,3265
ENSG00000012963,UBR7,Gene Expression,0.21683709671115112,0.0,0.0,9564,0.8448301516560027,2643
ENSG00000135052,GOLM1,Gene Expression,0.21683301205502878,0.0,0.0,10696,1.5533919312722653,3212
ENSG00000183722,LHFPL6,Gene Expression,0.21673772610653189,0.0,0.0,6027,1.5704046257133364,2976
ENSG00000257923,CUX1,Gene Expression,0.2166791116266775,0.0,0.0,17211,1.56310947036114,3258
ENSG00000119655,NPC2,Gene Expression,0.21651967087771296,0.0,0.0,39644,6.355805989635369,4651
ENSG00000126878,AIF1L,Gene Expression,0.21650181983464206,0.0,0.0,7540,0.6819724976718988,2269
ENSG00000198826,ARHGAP11A,Gene Expression,0.21649230513066486,0.0,0.0,4212,0.3287581503972523,1712
ENSG00000183648,NDUFB1,Gene Expression,0.2164713866046956,0.0,0.0,13079,1.1657065732312428,2951
ENSG00000120820,GLT8D2,Gene Expression,0.216422688430088,0.0,0.0,7728,1.7473681001827903,3294
ENSG00000125967,NECAB3,Gene Expression,0.2163429428163862,0.0,0.0,8240,0.6964787011498624,2351
ENSG00000140332,TLE3,Gene Expression,0.21620138992711402,0.0,0.0,10288,0.9104001135556903,2775
ENSG00000111490,TBC1D30,Gene Expression,0.21613241835705277,0.0,0.0,4194,0.32278744435960866,1715
ENSG00000125850,OVOL2,Gene Expression,0.2159956484837415,0.0,0.0,3492,0.25446516907041744,1555
ENSG00000165105,RASEF,Gene Expression,0.2158512013534378,0.0,0.0,5029,0.3902963902430822,1878
ENSG00000119383,PTPA,Gene Expression,0.2157239838284615,0.0,0.0,30152,2.8219057022463567,3856
