dataset,mu,phi,RPL19,TUBB,EEF1G,PPIA,GAPDH,ABCF1,SDHA,OAZ1,G6PD,ALAS1,GUSB,HPRT1,POLR2A,POLR1B,TBP
NB-033-13-1A,6426.552435931077,0.27106152766602026,3.7393007397282743,1.221052075089802,2.0987800807659154,1.9743972764622404,2.2992968951850514,0.26977630103201455,0.39309207931492235,1.9427792563992194,0.09806261288649643,0.07916039865863803,0.2540165409117386,0.2707265312198125,0.5307685728948172,0.044832444580099357,0.05778796204215527
SCE-112-04-1A,5465.352104899931,0.7648404474423963,1.8049552896455228,0.32211321703611673,1.1590481502785188,0.706190442929237,1.917713638348919,0.15373168720920588,0.1742553315836994,1.0287822383645755,0.05362629453579634,0.07285770568605078,0.11089231899398244,0.12456733312547419,0.31161148463253946,0.023367205471796465,0.047368486275476816
GBM-012-01-1D,3045.4614275414565,1.2230705911315831,1.6935412868731252,1.489443238607004,0.0,1.827497113073259,0.43610786230175896,0.36916284928822624,0.2087623412666453,1.5649643596389178,0.05390907452182147,0.17247067396600527,0.20732240774137933,0.08054615480696511,0.1880246624169146,0.06581746287889272,0.041995607291940275
PRAD-053-07-1A,2338.1332474226806,2.1807239175027355,3.140979156165848,0.7001897320060647,2.0271177503067994,1.5179657764702024,3.219354113774205,0.297115693073654,0.41690621128660604,2.276476375946132,0.28907624632225065,0.04715751713420999,0.10535708486386958,0.08228480525225677,0.22875905292214269,0.032883199146295464,0.02486509250928921
ccRCC-060-02-1A,5097.465027187345,0.3986614914504067,2.7838932813997697,0.48138305969736767,1.4103291056761704,1.3546520034131881,1.570858963152223,0.3705368918932177,0.3314526458687811,1.675112249003803,0.08973759176511356,0.13266296634675254,0.17537574943602213,0.2083495824239556,0.6540625802419818,0.06477629734319067,0.050871527623316
GEA-093-09-1A,4978.213628988642,1.339983285775673,0.5539059204666026,0.12849330214229845,0.3503015020338208,0.2339893636236186,1.0187052449051364,0.10389896941327274,0.039823358527309116,1.3155407566933646,0.06401113935312996,0.14697071917626678,0.03569414845975135,0.06005298557371659,0.3580551242061646,0.004630461145792784,0.010406340725738462
CRC-016-15-1A,4825.2193405535445,1.4052317598020116,3.647277084263166,0.8837272201612981,2.545416699439849,1.7455136228947559,2.462358668676459,0.16279510328748784,0.23089896840321017,2.07617887342314,0.09434164816124585,0.060644978537905576,0.13127750879579533,0.21009831327504325,0.1464274083245727,0.02387109596024232,0.040000949854235815
PDAC-106-01-1A,7815.108605341246,0.5444266852842928,2.9382977820958924,0.5764282051728741,1.4494805806679034,1.8501566887363339,2.2763885298765616,0.3509819924016387,0.20790954024850056,1.5754732194623264,0.17831423621201214,0.1928961117561914,0.2077852581128458,0.31227607084021203,0.5031315317654347,0.04981882684993076,0.0444553158397277
GBM-085-01-1A,3503.73803119957,0.6027151353796282,2.0346311650675326,1.8882742963925236,1.606749032586593,1.7027607822992683,3.3105119369769844,0.2814581818145596,0.34455565999083854,1.22468788535704,0.11694019216956214,0.10670524847806305,0.23276541701769898,0.19423755958804387,0.12090780962888059,0.041248104237512725,0.09131325695331197
LUAD-003-01-1A,5476.539182853316,1.097319102589864,3.3847442571186184,0.6347554665559183,2.525781968679618,1.5895851967454366,2.3174914624921286,0.20606304763760105,0.14959133142537073,2.2716882553217816,0.07305216732662902,0.10534301486739797,0.15527763257126265,0.14834327053889712,0.2826755642269749,0.00553511918927734,0.034286863042655394
CM-036-04-1A,8126.3573274748,0.31147720860860034,3.4697265872970187,0.7495641358738264,1.714477858754594,2.6306226479063364,2.6837179120781363,0.3443489873743994,0.22190015379316724,1.5132026486105272,0.12324525894412668,0.09117924583775865,0.382739594800187,0.15483462289489303,0.4685300549361003,0.08625787961613829,0.05744235795057268
PRAD-053-13-1A,7097.103062712688,0.5348872758306634,2.7253627125555813,0.631210001103114,1.6286748741580295,1.369713379945089,2.2609522905106796,0.30076182908506127,0.2890376814741045,1.7818949957913792,0.08805991993266611,0.11168606572473387,0.29274628748641,0.2481931146641941,0.42320583573342685,0.04838311985175414,0.04301078474576056
GCTB-052-01-1A,6243.175218610791,0.3483180976662663,2.806322914959388,0.7762700932745589,1.7229816405743237,1.7515722392947572,2.3383007033173047,0.35080914429066873,0.19765151474444392,1.817730731217561,0.06474715969408523,0.08260367059050917,0.2592241350618174,0.2231364617632376,0.36354929197830527,0.02442103008480168,0.03377974535372713
BRCA-107-02-1A,8120.394462223459,0.5507768368434126,2.5160615047894557,0.5662756946866129,1.565082146353784,1.2161325728108698,1.818173609501082,0.474790670596225,0.3180380999936513,1.5398159947116383,0.11113666229809557,0.13643100431155877,0.15689579752303637,0.21439895148784208,0.6154575709964524,0.029329033889635304,0.05509233845969115
ESCC-079-07-1A,6693.272323082623,0.848326034731064,3.274847736806302,0.8945206581283168,1.395609449424451,2.4504087330152733,3.4643578702545796,0.25443087624579025,0.25362063931025913,2.4258968850007143,0.24586684288910146,0.17697557447401172,0.22520896054509235,0.36225232056645873,0.3215400018443356,0.02497145604046862,0.08685914622416725
NSCLC-006-02-1A,2687.8094651220113,1.7331009767723218,3.367962314652931,0.561010615152429,2.4701636393637703,1.169356230589612,2.2964015718357755,0.13967204850186601,0.18524415735245775,1.8127848096299106,0.11542052190772623,0.05979881534538135,0.16107426887543536,0.1574926654996563,0.11491775110595184,0.009392182974218788,0.03246334906208592
PRAD-082-05-1A,11353.110629067245,0.18417396911119224,2.6854452459878995,0.5188320450029734,1.5649669246087854,1.4333289003335314,1.6714308332834154,0.5514609023503949,0.2420376967101181,1.2396955504115559,0.0615288460570773,0.18694907097486074,0.16681296463487427,0.19616316999793013,0.6185761599450976,0.036814251183819584,0.06155035740517301
BRCA-134-01-1A,9969.621951219513,0.557180732260686,2.434262498902744,0.521905497711421,1.5435791100490954,1.0676815204229408,2.3983470963909097,0.45026711744891623,0.2613709196641585,1.7928581479072565,0.12398107919016173,0.14429363194267492,0.2481218899252309,0.17828855453991427,0.6600152197988262,0.027558972219972964,0.0564832188898755
ccRCC-118-03-1A,2928.1959399823477,0.7010848760691244,2.7838450137509434,0.3376128071752433,1.7247393687398194,1.2530759052412892,2.0742011478387163,0.10966761457372078,0.21686666964164816,1.4390821972705896,0.09467971275808519,0.04368366189860045,0.11965644941374594,0.12545232893623773,0.13712400709916361,0.030322835393870096,0.05463852826150796
ESCC-048-24-1A,10519.815545590434,0.6786448402759222,2.179195236839137,0.35399003456590616,1.09754931012063,1.1417126833076197,1.5222441390387222,0.29798737123883623,0.17007016708754658,1.7483651314556798,0.19824492166825702,0.09435310735422905,0.19606578740835792,0.15146278032408214,0.44982988473848873,0.053438264835839806,0.05526607604487664
CRC-101-07-1A,2121.4290069686413,0.6354873347780888,0.10753862411753244,0.0627501563048175,0.20364602499696047,0.22558758407878055,0.37127599392513766,0.12327452380230738,0.32176333811223734,0.18691503981697968,0.015832905191402957,0.08290498776556597,0.10973714490888335,0.05048127941754471,0.14512858168892814,0.03669134459197842,0.050952431262947816
BLCA-115-03-1A,7655.3019976498235,0.43189634478347916,0.986400767862701,0.20745662529311182,0.42493732437410436,0.8617389867684467,1.2945124871582006,0.5614575322107969,0.3140354781456391,0.6445433519679639,0.06050414057238282,0.3989857960665894,0.15166190811919394,0.16170793682366982,1.0016460297250125,0.06263451878169175,0.06985916825608889
HGSOC-049-05-1A,4613.441588785046,0.8578087808530681,2.6886425586186107,0.792059351551172,2.2454966995154964,1.4741574062756944,2.173620734751248,0.2657451423747902,0.2543804631373972,1.4149027411793116,0.07928478989823529,0.09054492307767364,0.17909879019522718,0.1526435683755425,0.3251988688092657,0.01527949852604842,0.055188354588200234
LUAD-096-19-1A,9370.509551495017,0.36341182743590883,3.218256746536925,1.0205739021913478,2.6803945542840864,1.7536237758951334,2.439851299876433,0.3282581949247958,0.23328259084551783,1.7945271138306034,0.16073809809587586,0.15311942201234788,0.2678892016097034,0.2259570493303688,0.3713323117162886,0.021392606135430033,0.04272077993206111
LUAD-096-48-1A,5723.965819456617,0.5409721702419287,3.0211623770551497,0.756229689419813,2.377937161394384,1.5294411840303104,2.3954584598885176,0.3130776508789219,0.17431458294475452,2.093802555179834,0.11119402471789029,0.12032371653939569,0.21271545248569107,0.23282673986687255,0.6382839485079613,0.03096706636167954,0.04946744672401498
MCC-122-11-1A,9888.920804142552,0.12970003795025506,2.922610466654373,1.3980385917705294,2.017183435653603,2.1879817945152435,2.730677807452745,0.3355396517148544,0.4133968845211053,2.168947660560434,0.11132914546259391,0.06420213977878096,0.4805366781707807,0.397023226101709,0.5182589710610628,0.06667339570898266,0.13873003575571433
GBM-019-09-1D,1901.0683355886333,3.0865079483337157,1.637404087369017,0.9565093800911852,0.0,1.4295348584488332,0.7649508636148319,0.36921163236397087,0.07502867513239565,1.3991955944184438,0.09368360270181034,0.09817769915115937,0.1500358341404295,0.0751513675794503,0.11031290642101593,0.02711469618985144,0.03455375866904699
